关键词,频次,百分比
4d printing technology,39,6.220095693779904
inverse problems,23,3.6682615629984054
inverse designs,22,3.508771929824561
3d printing,19,3.0303030303030303
machine learning approaches,16,2.5518341307814993
3d printers,8,1.2759170653907497
design,8,1.2759170653907497
active composites,7,1.1164274322169059
machine-learning,6,0.9569377990430622
shape morphing structures,6,0.9569377990430622
evolutionary algorithms,6,0.9569377990430622
shape optimization,4,0.6379585326953748
stimuli-responsive materials,4,0.6379585326953748
hydrogel,4,0.6379585326953748
additive manufacturing process,4,0.6379585326953748
article,4,0.6379585326953748
computational design and fabrication,4,0.6379585326953748
simulation,4,0.6379585326953748
prediction,4,0.6379585326953748
structural design,4,0.6379585326953748
recurrent neural networks,4,0.6379585326953748
deep learning,3,0.4784688995215311
material distribution,3,0.4784688995215311
neural-networks,3,0.4784688995215311
geometry,3,0.4784688995215311
multi-material structures,3,0.4784688995215311
composites structures,3,0.4784688995215311
neural networks and genetic algorithms,3,0.4784688995215311
three dimensional printing,3,0.4784688995215311
printing designs,3,0.4784688995215311
genetic algorithms,3,0.4784688995215311
d-printing,3,0.4784688995215311
active composite structures,3,0.4784688995215311
morph,3,0.4784688995215311
shape memory alloys(sma),3,0.4784688995215311
multimaterial four dimensional printing,3,0.4784688995215311
shape memory polymers,3,0.4784688995215311
fabric,2,0.3189792663476874
self-morphing,2,0.3189792663476874
print on fabric,2,0.3189792663476874
deployable structure,2,0.3189792663476874
topology,2,0.3189792663476874
evolutional algorithm,2,0.3189792663476874
micromachines,2,0.3189792663476874
multi materials,2,0.3189792663476874
customized shape-morphing,2,0.3189792663476874
4d-printing,2,0.3189792663476874
optimization design,2,0.3189792663476874
computational mechanics,2,0.3189792663476874
voxel,2,0.3189792663476874
shape-shifting mechanisms,2,0.3189792663476874
target shape,2,0.3189792663476874
design optimization,2,0.3189792663476874
printing technologies,2,0.3189792663476874
printed structures,2,0.3189792663476874
self-assembly,2,0.3189792663476874
behavior design,2,0.3189792663476874
structure (composition),2,0.3189792663476874
mean square error,2,0.3189792663476874
printing,2,0.3189792663476874
young modulus,2,0.3189792663476874
deformation simulation,2,0.3189792663476874
shape change,2,0.3189792663476874
octopus-inspired soft grippers,2,0.3189792663476874
self assembly,2,0.3189792663476874
additive,2,0.3189792663476874
computer aided design,2,0.3189792663476874
residual network,2,0.3189792663476874
hierarchical architectures,2,0.3189792663476874
mechanical responses,2,0.3189792663476874
optimization,2,0.3189792663476874
digital materials,2,0.3189792663476874
bayesian calibration,2,0.3189792663476874
fabrication,2,0.3189792663476874
residual neural network,2,0.3189792663476874
fully convolutional network model,2,0.3189792663476874
3d/4d printing,2,0.3189792663476874
metamaterials,2,0.3189792663476874
tremor,2,0.3189792663476874
vibration,2,0.3189792663476874
wearable devices,2,0.3189792663476874
learning algorithms,2,0.3189792663476874
shrinking,2,0.3189792663476874
load plateaus,2,0.3189792663476874
vibration isolations,2,0.3189792663476874
sinter,2,0.3189792663476874
morphing structures,2,0.3189792663476874
stair-stepping mechanical metamaterials,2,0.3189792663476874
differential evaporation,2,0.3189792663476874
doubly curved surfaces,2,0.3189792663476874
vibrations (mechanical),2,0.3189792663476874
markov chain monte carlo,2,0.3189792663476874
composite structures,2,0.3189792663476874
design problems,2,0.3189792663476874
shrinkage mismatch,2,0.3189792663476874
self-folding,2,0.3189792663476874
direct 4d printing,2,0.3189792663476874
mesh surface,2,0.3189792663476874
bulge,1,0.1594896331738437
root mean square errors,1,0.1594896331738437
environmental stimuli,1,0.1594896331738437
markov chain monte-carlo,1,0.1594896331738437
isotropics,1,0.1594896331738437
multi-layers,1,0.1594896331738437
complex properties,1,0.1594896331738437
powder bed,1,0.1594896331738437
laser powders,1,0.1594896331738437
titanium alloys,1,0.1594896331738437
self actuation,1,0.1594896331738437
material systems,1,0.1594896331738437
complex materials,1,0.1594896331738437
multi-modal,1,0.1594896331738437
four-dimensional imaging,1,0.1594896331738437
signal encoding,1,0.1594896331738437
plates (structural components),1,0.1594896331738437
curved surfaces,1,0.1594896331738437
complex 3d shapes,1,0.1594896331738437
encoding (symbols),1,0.1594896331738437
tissue engineering,1,0.1594896331738437
heating,1,0.1594896331738437
evaporation model,1,0.1594896331738437
tensile strength,1,0.1594896331738437
temperature,1,0.1594896331738437
visual field,1,0.1594896331738437
swelling,1,0.1594896331738437
water transport,1,0.1594896331738437
loads (forces),1,0.1594896331738437
stairs,1,0.1594896331738437
isolation systems,1,0.1594896331738437
mechanical,1,0.1594896331738437
suppression systems,1,0.1594896331738437
target load,1,0.1594896331738437
vibration suppression,1,0.1594896331738437
sensitivity analysis,1,0.1594896331738437
retina fovea,1,0.1594896331738437
fused deposition modeling,1,0.1594896331738437
sub-domain optimization,1,0.1594896331738437
porosity,1,0.1594896331738437
model,1,0.1594896331738437
ultra-fast,1,0.1594896331738437
speed,1,0.1594896331738437
mathematical model,1,0.1594896331738437
binary alloys,1,0.1594896331738437
vaporization,1,0.1594896331738437
hierarchical systems,1,0.1594896331738437
homo,1,0.1594896331738437
location,1,0.1594896331738437
martensitic transformations,1,0.1594896331738437
metadata,1,0.1594896331738437
nickel alloys,1,0.1594896331738437
computation theory,1,0.1594896331738437
controllable deformations,1,0.1594896331738437
texture,1,0.1594896331738437
optimization method,1,0.1594896331738437
accelerated design,1,0.1594896331738437
contrastive learning,1,0.1594896331738437
grid layout,1,0.1594896331738437
geometric models,1,0.1594896331738437
design method,1,0.1594896331738437
conformal mapping,1,0.1594896331738437
material behavior,1,0.1594896331738437
external stimulus,1,0.1594896331738437
active material,1,0.1594896331738437
learning systems,1,0.1594896331738437
electron emission,1,0.1594896331738437
boundary value problems,1,0.1594896331738437
intelligent materials,1,0.1594896331738437
two photon polymerization,1,0.1594896331738437
adaptive devices,1,0.1594896331738437
logical reasoning,1,0.1594896331738437
neuro-symbolic artificial intelligence,1,0.1594896331738437
symbolic artificial intelligence,1,0.1594896331738437
