关键词,频次,百分比
3d printing,45,5.263157894736842
CFRP,34,3.976608187134503
motion planning,25,2.923976608187134
continuous fibers,13,1.5204678362573099
path planning method,13,1.5204678362573099
carbon fiber reinforced components,12,1.4035087719298245
fiber,9,1.0526315789473684
continuous carbon fiber 3d printing,8,0.9356725146198831
additive manufacturing,8,0.9356725146198831
robot programming,8,0.9356725146198831
stiffness,8,0.9356725146198831
optimization,7,0.8187134502923977
honeycomb structures,6,0.7017543859649122
fiber reinforced thermoplastics,5,0.5847953216374269
finite element analyse,4,0.46783625730994155
carbon footprint,4,0.46783625730994155
topology optimization method,4,0.46783625730994155
3d modeling,4,0.46783625730994155
cellular structures,4,0.46783625730994155
trajectory,4,0.46783625730994155
Fiber reinforced plastics,4,0.46783625730994155
topology optimisation,4,0.46783625730994155
continuous fiber reinforced polymer,4,0.46783625730994155
fused deposition modeling,4,0.46783625730994155
preform,4,0.46783625730994155
shape optimization,3,0.3508771929824561
support,3,0.3508771929824561
coreless robotic winding,3,0.3508771929824561
non-metallic reinforcement,3,0.3508771929824561
principal stress orientation,3,0.3508771929824561
automated path planning,3,0.3508771929824561
topology,3,0.3508771929824561
mechanical properties,3,0.3508771929824561
fibre placement,3,0.3508771929824561
printing presses,3,0.3508771929824561
finite element method,3,0.3508771929824561
toolpaths,3,0.3508771929824561
placement,3,0.3508771929824561
multi-axis motion,3,0.3508771929824561
additive,3,0.3508771929824561
fiber cutting mode,3,0.3508771929824561
inverse kinematics,3,0.3508771929824561
finite element analysis (fea),3,0.3508771929824561
continuous fiber composites,3,0.3508771929824561
reinforced thermoplastic composites,3,0.3508771929824561
tool paths planning,3,0.3508771929824561
milling (machining),3,0.3508771929824561
carbon fiber reinforced composite,3,0.3508771929824561
thermoplastic,3,0.3508771929824561
carbon fiber heavy tows,2,0.23391812865497078
thermoplastic polymers,2,0.23391812865497078
composite machining,2,0.23391812865497078
rough milling,2,0.23391812865497078
exit angles,2,0.23391812865497078
bending- induced fiber fracture,2,0.23391812865497078
lightweight structures,2,0.23391812865497078
face grinding,2,0.23391812865497078
robot-assisted yarn deposition,2,0.23391812865497078
circular honeycombs,2,0.23391812865497078
in-plane compression,2,0.23391812865497078
chamfered corner of grinding wheel,2,0.23391812865497078
bur,2,0.23391812865497078
performance-aware path planning,2,0.23391812865497078
nonplanar slicing,2,0.23391812865497078
manufacturing efficiency,2,0.23391812865497078
buckling analysis,2,0.23391812865497078
composites structures,2,0.23391812865497078
automated fiber placement,2,0.23391812865497078
polymer-matrix composites (pmcs),2,0.23391812865497078
cutting tool feed direction,2,0.23391812865497078
inverse problems,2,0.23391812865497078
polymer components,2,0.23391812865497078
specific energy absorption,2,0.23391812865497078
compression testing,2,0.23391812865497078
compressive strength,2,0.23391812865497078
carbon carbon composites,2,0.23391812865497078
three dimensional computer graphics,2,0.23391812865497078
interpolation,2,0.23391812865497078
layered manufacturing,2,0.23391812865497078
property,2,0.23391812865497078
mechanical,2,0.23391812865497078
thin walled structures,2,0.23391812865497078
composites material,2,0.23391812865497078
fiber reinforced polymer composites,2,0.23391812865497078
3d-modeling,2,0.23391812865497078
3d models,2,0.23391812865497078
deposition,2,0.23391812865497078
carbon-fibre reinforced plastics,2,0.23391812865497078
fiber-reinforced polymers,2,0.23391812865497078
structural defects,2,0.23391812865497078
structure (composition),2,0.23391812865497078
lattice sandwich structure,2,0.23391812865497078
3d printed continuous fiber,2,0.23391812865497078
surface milling,2,0.23391812865497078
machining damage,2,0.23391812865497078
performance enhancements,2,0.23391812865497078
grid-stiffened composite structures,2,0.23391812865497078
laser direct joining,2,0.23391812865497078
extended reality,2,0.23391812865497078
fibre reinforced polymers,2,0.23391812865497078
carbon fiber reinforced thermoplastic composite,2,0.23391812865497078
aluminum alloys,2,0.23391812865497078
incremental sheet forming,2,0.23391812865497078
structural design,2,0.23391812865497078
rigid press roll,2,0.23391812865497078
proton therapy,2,0.23391812865497078
end-to-end differentiable,2,0.23391812865497078
weft insertion system,2,0.23391812865497078
paving track,2,0.23391812865497078
composite repairing,2,0.23391812865497078
industrial cobot,2,0.23391812865497078
continuous fiber angle optimization,2,0.23391812865497078
printing path planning,2,0.23391812865497078
robot-assisted additive manufacturing,2,0.23391812865497078
steel production,2,0.23391812865497078
paving speed,2,0.23391812865497078
recommendation,2,0.23391812865497078
cf/peek,2,0.23391812865497078
decarbonization pathways,2,0.23391812865497078
flexible press roll,2,0.23391812865497078
automotive industry,2,0.23391812865497078
interface temperature control,2,0.23391812865497078
paving pressure,2,0.23391812865497078
spot,2,0.23391812865497078
fused filament fabrication,2,0.23391812865497078
robot arms,2,0.23391812865497078
c-cfrtp,2,0.23391812865497078
curved surface path planning,2,0.23391812865497078
dynamic collision avoidances,2,0.23391812865497078
narrow channels,2,0.23391812865497078
printing paths,2,0.23391812865497078
laying robot,2,0.23391812865497078
in-situ molding,2,0.23391812865497078
improved snake optimization algorithm,2,0.23391812865497078
continuous carbon fiber-reinforced composites,2,0.23391812865497078
continuous carbon fiber bundles,2,0.23391812865497078
composite material,2,0.23391812865497078
thermoplastic composites,2,0.23391812865497078
induction welding,2,0.23391812865497078
