关键词,频次,百分比
cfrp,60,4.1067761806981515
3d printing,51,3.4907597535934287
motion planning,30,2.0533880903490758
path planning method,18,1.2320328542094456
robot programming,15,1.0266940451745379
fiber,14,0.9582477754962354
continuous fibers,13,0.8898015058179329
additive manufacturing (am),10,0.6844626967830253
optimization,9,0.6160164271047228
carbon fiber reinforced components,9,0.6160164271047228
fiber reinforced plastics,9,0.6160164271047228
continuous carbon fiber 3d printing,8,0.5475701574264202
stiffness,8,0.5475701574264202
fibre placement,6,0.41067761806981523
honeycomb structures,6,0.41067761806981523
trajectory,6,0.41067761806981523
preform,6,0.41067761806981523
industrial robots,6,0.41067761806981523
automation,6,0.41067761806981523
carbon fiber-reinforced plastic composites,6,0.41067761806981523
fused deposition modeling,6,0.41067761806981523
carbon fiber reinforced composite,5,0.34223134839151265
3d modeling,5,0.34223134839151265
composite materials,5,0.34223134839151265
fiber reinforced thermoplastics,5,0.34223134839151265
complex,5,0.34223134839151265
automated fiber placement,5,0.34223134839151265
3d printers,5,0.34223134839151265
cellular structures,4,0.2737850787132101
carbon-fibre reinforced plastics,4,0.2737850787132101
polymer-matrix composites (pmcs),4,0.2737850787132101
principal stress orientation,4,0.2737850787132101
continuous fiber reinforced polymer,4,0.2737850787132101
printing presses,4,0.2737850787132101
topology optimisation,4,0.2737850787132101
robotics,4,0.2737850787132101
composites material,4,0.2737850787132101
support,4,0.2737850787132101
carbon footprint,4,0.2737850787132101
finite element method,4,0.2737850787132101
finite element analyse,4,0.2737850787132101
toolpaths,4,0.2737850787132101
automaton,4,0.2737850787132101
mechanical properties,4,0.2737850787132101
additive,4,0.2737850787132101
topology optimization method,4,0.2737850787132101
milling (machining),4,0.2737850787132101
carbon dioxide lasers,4,0.2737850787132101
stellarator optimization,3,0.20533880903490762
placement,3,0.20533880903490762
design of experiments,3,0.20533880903490762
quality control,3,0.20533880903490762
inverse kinematics,3,0.20533880903490762
thermoplastic,3,0.20533880903490762
continuous fiber composites,3,0.20533880903490762
multi-axis motion,3,0.20533880903490762
nozzle,3,0.20533880903490762
planning,3,0.20533880903490762
automated path planning,3,0.20533880903490762
coreless robotic winding,3,0.20533880903490762
tensile strength,3,0.20533880903490762
fiber lasers,3,0.20533880903490762
evolutionary algorithms,3,0.20533880903490762
co-operating robots,3,0.20533880903490762
fiber cutting mode,3,0.20533880903490762
topology,3,0.20533880903490762
agricultural robots,3,0.20533880903490762
intelligent robots,3,0.20533880903490762
surface roughness,3,0.20533880903490762
reinforced thermoplastic composites,3,0.20533880903490762
non-metallic reinforcement,3,0.20533880903490762
shape optimization,3,0.20533880903490762
strut,3,0.20533880903490762
finite element analysis (fea),3,0.20533880903490762
tool paths planning,3,0.20533880903490762
carbon black,2,0.13689253935660506
cast,2,0.13689253935660506
surface milling,2,0.13689253935660506
3d printed continuous fiber,2,0.13689253935660506
degrees of freedom (mechanics),2,0.13689253935660506
lattice sandwich structure,2,0.13689253935660506
cf/peek,2,0.13689253935660506
polymer components,2,0.13689253935660506
detector,2,0.13689253935660506
structural defects,2,0.13689253935660506
cutting tool feed direction,2,0.13689253935660506
offshore oil well production,2,0.13689253935660506
inverse problems,2,0.13689253935660506
layered manufacturing,2,0.13689253935660506
