关键词,频次,百分比
polypropylene,1425,3.852184256055363
cfrp,1419,3.8359645328719725
fiber reinforced plastics,558,1.5084342560553634
mechanical properties of woods,462,1.2489186851211074
fiber,391,1.0569852941176472
tensile strength of filled polymer,390,1.0542820069204153
thermoplastic,357,0.9650735294117647
complex,313,0.846128892733564
support,307,0.829909169550173
carbon fiber-reinforced thermoplastic composites,255,0.6893382352941176
composite materials - nonmetallic matrix composites,208,0.5622837370242215
injection molding machines,197,0.5325475778546713
scanning electron microscopy image,179,0.4838884083044983
carbon fiber reinforced composites (cfrc),169,0.4568555363321799
polymer matrix composites (pmc),164,0.4433391003460208
polypropylene composites,158,0.4271193771626298
plastic products,146,0.39467993079584773
polymer,145,0.39197664359861595
glass fibers,133,0.3595371972318339
thermoplastic composites,130,0.3514273356401384
hybrid composites,115,0.3108780276816609
impact strength,114,0.30817474048442905
carbon nanotubes (cnts),113,0.3054714532871972
recycling,106,0.2865484429065744
carbon,104,0.28114186851211076
bending strength,104,0.28114186851211076
filler,104,0.28114186851211076
tensile testing machines,103,0.2784385813148789
concretes,97,0.2622188581314879
compressive strength ratios,94,0.25410899653979235
electrical conductivity model,90,0.24329584775086505
nanocomposites industry,90,0.24329584775086505
adhesion,90,0.24329584775086505
graphite fibers,87,0.23518598615916955
thermal conductivity measurements,77,0.2081531141868512
morphology,76,0.20544982698961936
differential scanning calorimetry (dsc),75,0.20274653979238752
polypropylene fiber non-wovens,72,0.19463667820069203
elastic moduli,71,0.19193339100346019
crystallization,70,0.18923010380622837
compression molding process,70,0.18923010380622837
bulge,69,0.18652681660899653
electric conductivity measurement,69,0.18652681660899653
plastic,69,0.18652681660899653
epoxy resins--testing,66,0.17841695501730104
maleic anhydrides,65,0.1757136678200692
fiber reinforced polypropylene composites,65,0.1757136678200692
interfacial shear strength (ifss),64,0.17301038062283738
steel fibers,63,0.17030709342560554
coupling agents,63,0.17030709342560554
resin,63,0.17030709342560554
microstructure and mechanical properties,62,0.1676038062283737
elastomer,61,0.16490051903114186
fracture toughness values,61,0.16490051903114186
carbon carbon composites,60,0.16219723183391002
short carbon fibers (scf),60,0.16219723183391002
3d printing,59,0.15949394463667818
narration,59,0.15949394463667818
surface treatment techniques,56,0.1513840830449827
stiffness,56,0.1513840830449827
plastic recycling,56,0.1513840830449827
carbon fibres,55,0.14868079584775087
carbon black polypropylene composite,55,0.14868079584775087
glass,54,0.14597750865051903
natural fibers,53,0.1432742214532872
interfacial adhesions,52,0.14057093425605538
property,52,0.14057093425605538
polyethylene,51,0.13786764705882354
ductility,50,0.1351643598615917
pumping plants,50,0.1351643598615917
fiber reinforced composites,50,0.1351643598615917
weaving,50,0.1351643598615917
finite element method,49,0.13246107266435986
strength of materials,49,0.13246107266435986
laminated composites,49,0.13246107266435986
polymer composite materials,49,0.13246107266435986
shear strengthening,48,0.12975778546712802
fracture,48,0.12975778546712802
mechanical performances,47,0.12705449826989618
blend,46,0.12435121107266436
