关键词,频次,百分比
motion planning methods,1042,2.677837171052632
topology,885,2.2743626644736845
robot programming,388,0.9971217105263158
path planning networks,386,0.9919819078947367
algorithm,290,0.7452713815789473
mobile robots,269,0.6913034539473684
optimization,227,0.5833675986842105
robotics,211,0.5422491776315789
automaton,208,0.5345394736842105
navigation,194,0.4985608552631579
topological mapping system,190,0.48828125
graph theory networks,187,0.48057154605263164
network topology analysis,120,0.30838815789473684
unmanned aerial vehicles (uav),119,0.3058182565789474
collision avoidance algorithm,109,0.2801192434210526
computer simulation languages,105,0.26983963815789475
planning,95,0.244140625
wireless sensor networks (wsn),94,0.24157072368421054
intelligent robots,90,0.2312911184210526
path-planning algorithms,90,0.2312911184210526
reinforcement learning agent,90,0.2312911184210526
mathematical models,89,0.22872121710526316
electric network topology,79,0.20302220394736842
function,77,0.19788240131578946
trees (mathematics),73,0.18760279605263158
motion and path planning,72,0.1850328947368421
trajectory,72,0.1850328947368421
roads and streets,71,0.18246299342105263
semantics,66,0.16961348684210528
heuristic algorithms,65,0.1670435855263158
antenna,64,0.1644736842105263
integer programming,62,0.15933388157894737
shortest path planning,62,0.15933388157894737
route planning time,61,0.1567639802631579
network planning process,60,0.15419407894736842
complex networks,59,0.15162417763157895
navigation systems,58,0.1490542763157895
geometry,58,0.1490542763157895
intelligent vehicle highway systems,58,0.1490542763157895
mobile robot control systems,58,0.1490542763157895
industrial robots,58,0.1490542763157895
autonomous vehicles,57,0.146484375
problem solving,57,0.146484375
genetic algorithms,56,0.1439144736842105
artificial intelligence algorithms,55,0.14134457236842105
3d printing,55,0.14134457236842105
path planning problems,54,0.13877467105263158
ant colony optimizations,53,0.1362047697368421
energy utilization,52,0.13363486842105263
decision making procedure,52,0.13363486842105263
autonomous navigations,52,0.13363486842105263
graphic methods,52,0.13363486842105263
trajectory planning algorithm,51,0.13106496710526316
computer aided design - robot applications,51,0.13106496710526316
detector,51,0.13106496710526316
multi agent systems,51,0.13106496710526316
route,50,0.1284950657894737
telecommunication networks,50,0.1284950657894737
heuristic methods,49,0.1259251644736842
agricultural robots,49,0.1259251644736842
multipurpose robots,48,0.12335526315789473
path planning method,48,0.12335526315789473
neural networks (computer),47,0.12078536184210527
deep learning algorithm,47,0.12078536184210527
motion controller,46,0.11821546052631579
energy efficiency,46,0.11821546052631579
urban planning,46,0.11821546052631579
path-planning problem,46,0.11821546052631579
configuration space path planning,45,0.1156455592105263
unknown environments,45,0.1156455592105263
sensor nodes,45,0.1156455592105263
computational geometry,45,0.1156455592105263
efficiency,45,0.1156455592105263
dynamic environments,45,0.1156455592105263
topology optimization method,44,0.11307565789473685
multi-robot systems,43,0.11050575657894736
topological structures,43,0.11050575657894736
virtual reality simulations,42,0.10793585526315791
sensor networks localization,40,0.10279605263157894
robot navigation,40,0.10279605263157894
autonomous mobile robots (amr),40,0.10279605263157894
routing algorithms,40,0.10279605263157894
kinematics,40,0.10279605263157894
road network generation,39,0.10022615131578948
air navigation,39,0.10022615131578948
aerial vehicles,38,0.09765625
network routing,38,0.09765625
iterative methods,38,0.09765625
shape optimization algorithms,38,0.09765625
quality of service (qos),38,0.09765625
learning algorithms,37,0.09508634868421052
conformal mapping,36,0.09251644736842105
router,35,0.08994654605263158
voronoi diagrams,35,0.08994654605263158
operator,35,0.08994654605263158
network architecture,34,0.0873766447368421
intelligent systems,34,0.0873766447368421
vehicle,34,0.0873766447368421
fiber optic networks,34,0.0873766447368421
motor transportation,34,0.0873766447368421
optimal paths,34,0.0873766447368421
topological informations,33,0.08480674342105264
reinforcement learnings,33,0.08480674342105264
computational complexity,33,0.08480674342105264
global path planning,33,0.08480674342105264
optimal path planning,32,0.08223684210526315
wavelength division multiplexing (wdm) networks,32,0.08223684210526315
obstacle avoidance (oa) behaviors,32,0.08223684210526315
collision-free paths planning,32,0.08223684210526315
image processing technique,32,0.08223684210526315
topological graphs,31,0.07966694078947369
travel time forecasting,31,0.07966694078947369
telecommunication traffic,31,0.07966694078947369
machine design,31,0.07966694078947369
computer vision,31,0.07966694078947369
automation,31,0.07966694078947369
traffic control,31,0.07966694078947369
costs,30,0.07709703947368421
topology optimisation,30,0.07709703947368421
geographic information systems (gis),30,0.07709703947368421
3d printers,30,0.07709703947368421
motion-planning,29,0.07452713815789475
degrees of freedom (mechanics),29,0.07452713815789475
bandwidth,29,0.07452713815789475
structural optimization,29,0.07452713815789475
drone,29,0.07452713815789475
traffic engineering,29,0.07452713815789475
transportation planning,28,0.07195723684210525
real time systems,28,0.07195723684210525
learning systems,28,0.07195723684210525
traffic congestion,28,0.07195723684210525
slam,28,0.07195723684210525
mesh generation,28,0.07195723684210525
bunch,27,0.06938733552631579
numerical methods,27,0.06938733552631579
scheduling,27,0.06938733552631579
particle swarm optimization algorithm,27,0.06938733552631579
indoor environments,27,0.06938733552631579
particle swarm optimization (pso),27,0.06938733552631579
